disasterNumber,declarationDate,incidentType,title,state,lockedInCeilingAmount,mitigationDollarsAvailable,obligatedTotalAmount
1363,2001-03-13T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Arkansas,422206.0,111587.0,431125.0
1845,2009-06-16T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Arkansas,1494611.0,193298.0,1374399.0
4143,2013-09-04T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Arkansas,1163363.0,78785.41,1141465.59
1516,2004-05-07T00:00:00.000Z,Severe Storm,"SEVER STORMS, FLOODING AND LANDSLIDES",Arkansas,507255.0,242761.0,409670.0
1528,2004-06-30T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Arkansas,254672.0,74211.0,253348.0
4436,2019-05-21T00:00:00.000Z,Severe Storm,SNOWSTORM AND FLOODING,Arizona,82402.0,98881.0,0.0
4000,2011-07-08T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Arkansas,642837.0,606237.0,68035.0
890,1991-01-04T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,Alabama,206668.0,0.0,221254.0
4254,2016-02-05T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Arkansas,1901112.0,6148.96,1987927.04
1047,1995-04-21T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING AND TORNADOES",Alabama,375120.0,3011.0,393509.0
4270,2016-05-06T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Arkansas,408720.0,27960.74,400745.26
1793,2008-09-18T00:00:00.000Z,Hurricane,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV,Arkansas,605482.0,26136.0,608954.0
1108,1996-03-20T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING AND TORNADOES",Alabama,151500.0,3431.0,158280.0
1019,1994-03-30T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADO, AND FLOODING",Alabama,688330.0,797.0,724003.0
1034,1994-07-08T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING (TROPICAL STORM ALBERTO),Alabama,2048280.0,97929.0,2037146.0
1472,2003-06-06T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Arkansas,1041633.0,264589.0,1075159.0
1744,2008-02-07T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Arkansas,1753769.0,146628.0,1692900.0
1751,2008-03-26T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Arkansas,7634699.0,740510.0,7267526.0
1758,2008-05-20T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, AND TORNADOES",Arkansas,786895.0,237443.0,587931.0
4318,2017-06-15T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Arkansas,4716114.0,1091257.76,3855474.24
4251,2016-01-21T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Alabama,6067611.0,473325.18,5890991.82
1586,2005-04-14T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Arizona,619099.0,690571.0,91326.0
4124,2013-06-25T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Arkansas,1217384.0,49216.97,1227697.03
1208,1998-03-09T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Alabama,3177963.0,339598.0,2957963.0
856,1990-02-17T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES & FLOODING",Alabama,451939.0,128901.0,352454.0
1473,2003-06-06T00:00:00.000Z,Severe Storm,"HEAVY RAINFALL, FLOODING, LANDSLIDES, AND MUDSLIDES",American Samoa,890852.0,240772.0,895330.0
1859,2009-09-29T00:00:00.000Z,Earthquake,"EARTHQUAKE,TSUNAMI, AND FLOODING",American Samoa,19180137.0,10295406.26,9822639.74
4192,2014-09-10T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, AND LANDSLIDES",American Samoa,97901.0,50453.37,52234.63
1581,2005-02-17T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Arizona,572278.0,608015.0,112353.0
1347,2000-10-27T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Arizona,1305047.0,328718.0,1343739.0
861,1990-03-21T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES & FLOODING",Alabama,1691666.0,248204.0,1536474.0
1104,1996-02-23T00:00:00.000Z,Severe Storm,"SEVERE WINTER STORMS, ICE AND FLOODING",Alabama,1601689.0,10319.0,1654695.0
907,1991-05-30T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,Arkansas,298784.0,65384.0,248843.0
1660,2006-09-07T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Arizona,1197487.0,397494.0,1123094.0
1950,2010-12-21T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Arizona,71835.0,504.0,74844.0
865,1990-05-15T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,Arkansas,811369.0,57794.0,804268.0
1888,2010-03-18T00:00:00.000Z,Severe Storm,SEVERE WINTER STORMS AND FLOODING,Arizona,1486947.0,513204.7,1046453.3
1940,2010-10-04T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Arizona,1796520.0,742454.0,1141916.0
1529,2004-06-30T00:00:00.000Z,Dam/Levee Break,FLOODING AS A RESULT OF A LEVEE BREAK,California,2094179.0,1752489.0,895918.0
1205,1998-02-13T00:00:00.000Z,Severe Storm,"SEVERE WINTER STORMS, HIGH WINDS, AND FLOODING",Delaware,278346.0,0.0,294298.0
4613,2021-09-01T00:00:00.000Z,Severe Storm,"SEVERE STORM, STRAIGHT-LINE WINDS, AND FLOODING",North Dakota,482315.0,113045.71,449655.29
1646,2006-06-05T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",California,2091716.0,1253574.0,1394670.0
